ix_key,V_x,V_y,blockKey,side,span_vertex_count,probe_mid_x,probe_mid_y,probe_normal_x,probe_normal_y,probe_path_len_m,probe_steps,probe_null_reason,alley_class,feature_highway,feature_name,feature_distance,feature_source
"46.10,-188.80",46.10,-188.80,"117.0,-299.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"46.10,-188.80",46.10,-188.80,"117.0,-299.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"479.00,-292.30",479.00,-292.30,"372.5,-272.5",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"479.00,-292.30",479.00,-292.30,"372.5,-272.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"479.00,-292.30",479.00,-292.30,"459.5,-414.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"479.00,-292.30",479.00,-292.30,"499.0,-175.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"479.00,-292.30",479.00,-292.30,"543.5,-341.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"495.80,115.40",495.80,115.40,"382.0,115.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"495.80,115.40",495.80,115.40,"382.0,115.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"495.80,115.40",495.80,115.40,"456.5,15.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"521.90,-48.30",521.90,-48.30,"382.0,115.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"522.80,-55.60",522.80,-55.60,"499.0,-175.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"522.80,-55.60",522.80,-55.60,"611.0,-247.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"549.70,282.00",549.70,282.00,"696.5,166.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"549.70,282.00",549.70,282.00,"696.5,166.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"575.10,127.90",575.10,127.90,"641.5,65.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"575.10,127.90",575.10,127.90,"696.5,166.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"576.60,-261.40",576.60,-261.40,"499.0,-175.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"576.60,-261.40",576.60,-261.40,"499.0,-175.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"576.60,-261.40",576.60,-261.40,"543.5,-341.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"58.70,-234.00",58.70,-234.00,"117.0,-299.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"598.00,-31.00",598.00,-31.00,"611.0,-247.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"607.00,-16.30",607.00,-16.30,"641.5,65.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"609.70,-26.40",609.70,-26.40,"684.5,-98.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"609.70,-26.40",609.70,-26.40,"684.5,-98.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"621.00,-67.90",621.00,-67.90,"684.5,-98.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"646.00,-698.80",646.00,-698.80,"652.0,-627.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"646.60,-461.30",646.60,-461.30,"677.5,-465.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
