ix_key,V_x,V_y,blockKey,corner_legA_skel,corner_legB_skel,theta_deg,R_authored,R_used,d_A,d_B,vertex_match_dist,vertex_matched,bezier_consumed_span_len,arc_span_present,prevMeta_skip,nextMeta_skip,prevMeta_terminal,nextMeta_terminal,prevMeta_tl,prevMeta_sw,nextMeta_tl,nextMeta_sw,prevMeta_edgeOrd,nextMeta_edgeOrd,cw_plus_tl_sw_A,cw_plus_tl_sw_B,arc_R,cusp_safeMax,cusp_totalMax,cusp_fired,cusp_scale_k,dCorner,ramp_min_fired,pad_area_m2,pad_selfintersects,pad_ring_vertex_count,failure_mode,notes
"424.40,-88.70",424.40,-88.70,"499.0,-175.0",south-18th-street-3,park-avenue-4,85.78,,4.500,2.77,4.69,0.001,1,0.000,1,0,0,sidewalk,sidewalk,1.00,3.69,1.25,1.52,,,2.546,4.050,4.500,4.050,5.074,1,0.782,4.050,0,17.336,0,34,ok,
"453.60,-197.00",453.60,-197.00,"352.5,-202.5",south-18th-street-3,rutger-street-1,92.55,,3.510,5.91,1.52,0.000,1,0.000,0,1,1,,none,,,0.00,0.00,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"453.60,-197.00",453.60,-197.00,"372.5,-272.5",rutger-street-1,south-18th-street-3,87.67,,3.241,1.52,5.91,0.001,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"46.10,-188.80",46.10,-188.80,"117.0,-299.0",benton-place-0,park-avenue-1,89.31,,4.500,2.90,4.59,0.001,1,0.000,1,1,0,,sidewalk,,,1.37,1.52,,,3.277,3.277,4.500,4.050,3.277,0,1.000,3.277,0,13.909,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
"46.10,-188.80",46.10,-188.80,"117.0,-299.0",park-avenue-1,benton-place-0,90.80,,4.500,4.59,2.90,0.001,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"479.00,-292.30",479.00,-292.30,"372.5,-272.5",south-18th-street-3,hickory-street-0,93.39,,3.561,5.91,1.52,0.001,1,0.792,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"479.00,-292.30",479.00,-292.30,"459.5,-414.0",hickory-street-0,south-18th-street-3,88.26,,3.271,1.52,5.91,0.001,1,0.000,1,0,1,sidewalk,,0.00,1.52,,,2,,1.905,1.905,3.271,2.944,1.905,0,1.000,1.905,0,7.248,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"479.00,-292.30",479.00,-292.30,"499.0,-175.0",hickory-street-0,south-18th-street-3,86.64,,3.189,1.52,2.77,0.001,1,0.573,1,0,1,sidewalk,,1.25,1.52,,,,,2.870,2.870,3.189,2.870,3.151,1,0.899,2.870,0,8.624,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"479.00,-292.30",479.00,-292.30,"543.5,-341.0",south-18th-street-3,hickory-street-0,91.71,,3.460,2.77,1.52,0.001,1,0.000,0,1,1,,lawn,,,0.00,0.00,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"487.00,643.00",487.00,643.00,"118.0,744.0",motorway-link-7,ozark-expressway-1,28.02,,0.000,0.00,0.00,0.001,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.001 (likely notConvex or R<=0.05)
"487.00,643.00",487.00,643.00,"484.5,549.5",motorway-link-7,ozark-expressway-1,27.37,,0.000,0.00,0.00,0.001,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.001 (likely notConvex or R<=0.05)
"490.00,637.70",490.00,637.70,,motorway-4,motorway-link-7,88.93,,0.000,0.00,0.00,5.431,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 5.431m exceeds TOL=0.5
