blockKey,cornerPt_x,cornerPt_z,V_x,V_z,theta_deg,R,R_authored,tl_A,sw_A,tl_B,sw_B,d_A,d_B,diff,ratio,regime,cuspFired,arcLen,rampLen,rampRatio,tlRings,swRings,aspRings,concentric,dropTreeLawn,selfInt,aChain,aSide,bChain,bSide,nArcVerts,nPrevStraightVerts,nNextStraightVerts,fbFound
"499.0,-175.0",517.85,-63.47,522.80,-55.60,80.9,2.93,no,1.00,3.69,,,2.64,2.64,0.00,1.00,SYM-WITH-RAMP,1,5.07,2.00,0.39,1,1,0,0,0,0,Park Avenue,right,,,17,1,4,1
"499.0,-175.0",427.95,-94.20,424.40,-88.70,85.8,4.50,no,1.25,1.52,1.00,3.69,2.55,4.05,1.50,0.63,ASYM,1,7.40,,,1,1,1,0,0,1,South 18th Street,left,Park Avenue,right,17,4,2,1
"499.0,-175.0",479.49,-286.08,479.00,-292.30,86.6,3.19,no,,,1.25,1.52,2.87,2.87,0.00,1.00,SYM-WITH-RAMP,1,5.20,2.00,0.38,1,1,0,0,0,0,,,South 18th Street,left,17,2,0,1
"499.0,-175.0",569.36,-257.62,576.60,-261.40,92.4,3.50,no,,,,,,,,,NEITHER-EMITTED,0,5.35,,,0,0,0,0,0,0,,,,,17,0,1,0
"-1029.0,-114.5",-994.21,-154.03,-987.40,-158.00,89.2,3.32,no,,,,,,,,,NEITHER-EMITTED,0,5.26,,,0,0,0,0,0,0,,,,,17,5,0,0
"-1029.0,-114.5",-1009.49,-64.62,-1004.80,-56.20,90.1,3.37,no,,,,,,,,,NEITHER-EMITTED,0,5.29,,,0,0,0,0,0,0,,,,,17,0,5,0
"-264.5,-164.5",-162.29,-211.36,-154.00,-220.90,89.1,4.50,no,,,3.19,1.73,4.05,4.05,0.00,1.00,SYM-WITH-RAMP,1,7.14,2.00,0.28,1,1,1,0,0,0,,,Park Avenue,left,17,2,0,1
"-264.5,-164.5",-182.85,-87.01,-177.50,-78.70,90.0,4.42,no,1.00,1.00,,,2.38,2.38,0.00,1.00,SYM-WITH-RAMP,0,6.93,2.00,0.29,1,1,1,0,0,0,Albion Place,left,,,17,0,11,1
"-264.5,-164.5",-346.48,-241.67,-355.00,-253.90,83.5,3.04,no,3.19,1.73,1.00,1.00,2.74,1.34,1.40,0.49,ASYM,1,5.12,,,1,1,1,0,0,0,Park Avenue,left,Albion Place,left,17,11,2,1
"342.5,-154.0",425.51,-100.48,424.40,-88.70,83.5,4.50,no,1.73,2.87,,,4.05,4.05,0.00,1.00,SYM-WITH-RAMP,1,7.57,2.00,0.26,1,1,1,0,0,0,Park Avenue,right,,,17,2,3,1
"342.5,-154.0",244.56,-167.46,229.00,-158.90,67.8,4.50,no,,,1.73,2.87,4.05,4.05,0.00,1.00,SYM-WITH-RAMP,1,9.84,2.00,0.20,1,1,1,0,0,0,,,Park Avenue,right,17,3,2,1
"353.5,-202.0",268.12,-253.69,259.60,-258.70,87.3,3.22,no,,,,,,,,,NEITHER-EMITTED,0,5.21,,,0,0,0,0,0,0,,,,,17,2,0,0
"353.5,-202.0",451.12,-195.49,453.60,-197.00,92.6,3.51,no,,,,,,,,,NEITHER-EMITTED,0,5.36,,,0,0,0,0,0,0,,,,,17,0,2,0
"-682.5,-180.5",-680.47,-203.73,-686.10,-210.90,89.9,3.36,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.28,,,0,1,1,0,0,0,,,St. Vincent Court,left,17,6,0,1
"-682.5,-180.5",-678.87,-203.47,-671.30,-208.50,90.3,3.38,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.29,,,0,1,1,0,0,0,St. Vincent Court,left,,,17,0,6,1
"-1015.5,-212.5",-977.88,-251.58,-970.90,-256.70,89.8,3.35,no,,,,,,,,,NEITHER-EMITTED,0,5.28,,,0,0,0,0,0,0,,,,,17,5,0,0
"-1015.5,-212.5",-992.55,-163.85,-987.40,-158.00,90.6,3.39,no,,,,,,,,,NEITHER-EMITTED,0,5.30,,,0,0,0,0,0,0,,,,,17,0,5,0
"117.5,-299.0",249.33,-264.27,259.60,-258.70,86.9,3.20,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.20,,,0,1,1,0,0,0,Rutger Street,left,,,17,1,2,1
"117.5,-299.0",248.22,-260.02,259.60,-258.70,92.7,3.52,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.36,,,0,1,1,0,0,0,,,Rutger Street,left,17,2,6,1
"117.5,-299.0",223.46,-171.41,229.00,-158.90,112.6,4.50,no,,,,,,,,,NEITHER-EMITTED,0,5.16,,,0,0,0,0,0,0,,,,,17,6,1,0
"117.5,-299.0",50.36,-199.62,46.10,-188.80,89.3,4.50,no,1.37,1.52,,,3.28,3.28,0.00,1.00,SYM-WITH-RAMP,0,6.86,2.00,0.29,1,1,0,0,0,0,Benton Place,left,,,17,1,29,1
"117.5,-299.0",56.58,-233.94,58.70,-234.00,140.3,4.50,no,,,1.37,1.52,3.28,3.28,0.00,1.00,SYM-WITH-RAMP,0,3.12,1.25,0.40,1,1,1,0,0,0,,,Benton Place,left,17,29,1,1
"117.5,-299.0",46.38,-200.26,46.10,-188.80,90.8,4.50,no,,,,,,,,,NEITHER-EMITTED,0,7.24,,,0,0,0,0,0,0,,,,,17,1,0,0
"117.5,-299.0",-37.84,-213.77,-48.00,-203.90,80.8,2.93,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.07,,,0,1,1,0,0,1,Mackay Place,right,,,17,0,4,1
